ticker,company,industry,sub_industry
DIS,Walt Disney Co,Communications,Entertainment
T,AT&T,Communications,Integrated Telecommunication
MCD,McDonald's Corp,Consumer Discretionary,Restaurant
NKE,Nike,Consumer Discretionary,Apparel
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
SYY,Sysco Corp,Consumer Staples,Food Distributors
HES,Hess Corp,Energy,Integrated Oil & Gas
JPM,JPMorgan Chase & Co,Finance,Diversified Banks
AET,Aetna,Healthcare,Managed Healthcare
LLY,Eli Lily Co,Healthcare,Pharmaceuticals
HON,Honeywell Inc,Industrials,Industrial Conglomerates
LMT,Lockheed Martin,Industrials,Aerospace & Defense
AAPL,Apple Inc,IT,Hardware
INTC,Intel Corp,IT,Semiconductors
NUE,Nucor Corp,Materials,Steel
